id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
270329510,EL GATO NEGRO,Abierta,Plaza peatonal,17,VILLAVERDE,SAN CRISTOBAL
140000655,BAR LOS ALAMOS,Abierta,Acera,14,MORATALAZ,MEDIA LEGUA
280007606,CAFETERIA CANTALEJO,Abierta,Acera,1,CENTRO,PALACIO
280011539,LA CARMEN,Abierta,Plaza peatonal,1,CENTRO,SOL
270039772,BAR LA RIBERA,Abierta,Acera,1,CENTRO,EMBAJADORES
270539695,RESTAURANTE GIBRALTAR,Abierta,Acera,1,CENTRO,EMBAJADORES
270490304,CERVECER?A LUSI,Abierta,Acera,1,CENTRO,EMBAJADORES
280007783,BAR LA QUINTERIA,Abierta,Plaza peatonal,1,CENTRO,PALACIO
10002435,SANTA MARTA,Abierta,Plaza peatonal,1,CENTRO,SOL
280010781,LA CANTINA DE BIRRA,Abierta,Calle peatonal,1,CENTRO,UNIVERSIDAD
270053066,CERVECERIA  PLAZA MAYOR,Abierta,Plaza peatonal,1,CENTRO,SOL
270039135,MUSA LATINA,Abierta,Plaza peatonal,1,CENTRO,PALACIO
10003016,RESTAURANTE VIVA LA VIDA,Abierta,Plaza peatonal,1,CENTRO,PALACIO
280010584,TABERNA BAZTAN,Abierta,Plaza peatonal,1,CENTRO,UNIVERSIDAD
280022636,R?TULO NO INFORMADO,Abierta,Otros,5,CHAMARTIN,HISPANOAMERICA
50000908,KARRAKELA,Abierta,Acera,5,CHAMARTIN,CASTILLA
270538489,CERVECERIA EL ENFRADOR,Abierta,Acera,5,CHAMARTIN,NUEVA ESPA?A
270043168,CAFE CENTRAL,Abierta,Plaza peatonal,1,CENTRO,CORTES
270022337,CASA EDUARDO,Abierta,Acera,1,CENTRO,PALACIO
270307681,CAFE ZARRA BAR,Abierta,Plaza peatonal,1,CENTRO,SOL
10002297,MESON 5 JOTAS,Abierta,Plaza peatonal,1,CENTRO,SOL
270378550,LA CATEDRAL,Abierta,Calle peatonal,1,CENTRO,SOL
280009276,RESTAURANTE VI?A P TABERNA,Abierta,Plaza peatonal,1,CENTRO,CORTES
270244967,BAR RESTAURANTE,Abierta,Acera,1,CENTRO,SOL
280011400,PRIORITE,Suspension temporal,Calle peatonal,1,CENTRO,SOL
100000159,MESON LAS REDES,Abierta,Acera,10,LATINA,ALUCHE
270439965,PUB LA PLAZA,Abierta,Superficie en parcela privada,11,CARABANCHEL,OPA?EL
270537311,GINOS-VIPS,Abierta,Acera,2,ARGANZUELA,LEGAZPI
280007538,CANTINA MOCTEZUMA,Abierta,Calle peatonal,1,CENTRO,PALACIO
270038638,CERVECERIA 100 MONTADITOS,Abierta,Acera,1,CENTRO,PALACIO
270379054,CAFETERIA VIANVI,Abierta,Acera,1,CENTRO,SOL
270537018,O?REILLYS,Abierta,Calle peatonal,1,CENTRO,SOL
270220224,BAR EL  ROCIO,Abierta,Calle peatonal,1,CENTRO,SOL
280007843,VIUDA DE VACAS,Abierta,Acera,1,CENTRO,PALACIO
